Date,Close,High,Low,Open,Vol,Session
2002-01-28,812.55,816.65,811.85,816.65,119,
2002-01-29,807.05,816.65,807.05,816.65,93,
2002-01-30,804.25,815.85,798.35,815.25,368,
2002-01-31,812.55,813.25,798.35,803.25,201,
2002-02-01,811.15,813.95,809.15,812.55,48,
2002-02-04,802.55,806.75,801.55,806.75,259,
2002-02-05,800.45,806.85,796.45,806.75,116,
2002-02-06,796.05,802.95,793.95,796.45,13,
2002-02-07,794.65,800.75,787.25,800.75,82,
2002-02-08,804.35,804.35,792.55,792.85,193,
2002-02-11,807.55,807.55,802.85,803.15,136,
2002-02-12,808.95,809.75,802.75,803.15,111,
2002-02-13,811.25,812.25,805.05,808.75,48,
2002-02-14,813.05,815.35,808.85,809.65,237,
2002-02-15,805.75,810.45,805.45,809.75,241,
2002-02-19,798.55,804.25,797.95,804.25,327,
2002-02-20,799.05,804.25,795.65,804.25,501,
2002-02-21,804.15,805.85,795.35,800.05,501,
2002-02-22,802.75,804.25,796.25,797.25,315,
2002-02-25,807.55,807.55,804.05,804.95,150,
2002-02-26,811.25,812.45,804.05,804.95,101,
2002-02-27,815.05,818.05,808.05,810.75,213,
2002-02-28,814.35,818.15,813.35,814.95,155,
2002-03-01,823.05,823.15,811.85,811.85,271,
2002-03-04,832.25,833.15,824.65,825.75,448,
2002-03-05,835.75,837.45,824.65,825.75,270,
2002-03-06,836.75,838.75,831.25,833.75,452,
2002-03-07,839.75,845.65,839.05,843.85,146,
2002-03-08,843.35,846.35,841.15,843.65,178,
2002-03-11,844.85,844.85,841.35,841.85,282,
2002-03-12,843.85,846.65,836.85,841.85,397,
2002-03-13,840.15,844.15,836.85,838.35,324,
2002-03-14,837.85,842.85,837.45,840.35,112,
2002-03-15,843.45,844.75,839.35,840.85,311,
2002-03-18,843.85,847.25,843.05,846.35,254,
2002-03-19,848.55,850.45,843.05,846.35,166,
2002-03-20,845.35,850.45,843.35,849.85,720,
2002-03-21,840.95,849.05,839.15,849.05,314,
2002-03-22,842.35,846.05,841.55,845.35,231,
2002-03-25,836.05,842.15,834.95,841.85,573,
2002-03-26,838.05,842.35,833.15,841.85,497,
2002-03-27,843.35,845.75,834.15,834.25,218,
2002-03-28,847.35,854.35,844.95,854.35,90,
2002-04-01,844.85,844.85,838.75,844.85,308,
2002-04-02,844.85,847.95,838.75,844.85,493,
2002-04-03,835.45,845.65,835.45,843.15,336,
2002-04-04,834.95,841.85,832.85,841.05,216,
2002-04-05,835.55,840.35,835.55,837.85,440,
2002-04-08,842.35,842.35,831.95,832.85,558,
2002-04-09,842.45,845.85,831.95,832.85,282,
