"Date","Time","Open","High","Low","Close","Vol","OI","CompositeRSI","HurstExponent"
01/28/2002,16:00,816.65,816.65,811.85,812.55,119,68,0.00,0.00
01/29/2002,16:00,816.65,816.65,807.05,807.05,93,103,0.00,0.00
01/30/2002,16:00,815.25,815.85,798.35,804.25,368,343,0.00,0.00
01/31/2002,16:00,803.25,813.25,798.35,812.55,201,474,0.00,0.00
02/01/2002,16:00,812.55,813.95,809.15,811.15,48,562,0.00,0.00
02/04/2002,16:00,806.75,806.75,801.55,802.55,259,561,0.00,0.00
02/05/2002,16:00,806.75,806.85,796.45,800.45,116,523,0.00,0.00
02/06/2002,16:00,796.45,802.95,793.95,796.05,13,23,0.00,0.00
02/07/2002,16:00,800.75,800.75,787.25,794.65,82,655,0.00,0.00
02/08/2002,16:00,792.85,804.35,792.55,804.35,193,720,0.00,0.00
02/11/2002,16:00,803.15,807.55,802.85,807.55,136,748,0.00,0.00
02/12/2002,16:00,803.15,809.75,802.75,808.95,111,798,0.00,0.00
02/13/2002,16:00,808.75,812.25,805.05,811.25,48,798,0.00,0.00
02/14/2002,16:00,809.65,815.35,808.85,813.05,237,945,0.00,0.00
02/15/2002,16:00,809.75,810.45,805.45,805.75,241,942,0.00,0.00
02/19/2002,16:00,804.25,804.25,797.95,798.55,327,988,0.00,0.00
02/20/2002,16:00,804.25,804.25,795.65,799.05,501,995,0.00,0.00
02/21/2002,16:00,800.05,805.85,795.35,804.15,501,1060,0.00,0.00
02/22/2002,16:00,797.25,804.25,796.25,802.75,315,1077,0.00,0.00
02/25/2002,16:00,804.95,807.55,804.05,807.55,150,1085,0.00,0.00
02/26/2002,16:00,804.95,812.45,804.05,811.25,101,1031,0.00,39.11
02/27/2002,16:00,810.75,818.05,808.05,815.05,213,1055,0.00,40.59
02/28/2002,16:00,814.95,818.15,813.35,814.35,155,1073,0.00,43.10
03/01/2002,16:00,811.85,823.15,811.85,823.05,271,1158,0.00,48.83
03/04/2002,16:00,825.75,833.15,824.65,832.25,448,1181,0.00,55.98
03/05/2002,16:00,825.75,837.45,824.65,835.75,270,1295,81.95,58.35
03/06/2002,16:00,833.75,838.75,831.25,836.75,452,1445,82.13,59.77
03/07/2002,16:00,843.85,845.65,839.05,839.75,146,45,82.67,63.98
03/08/2002,16:00,843.65,846.35,841.15,843.35,178,107,83.30,62.61
03/11/2002,16:00,841.85,844.85,841.35,844.85,282,250,83.57,62.55
03/12/2002,16:00,841.85,846.65,836.85,843.85,397,307,68.85,61.68
03/13/2002,16:00,838.35,844.15,836.85,840.15,324,372,43.29,61.62
03/14/2002,16:00,840.35,842.85,837.45,837.85,112,406,37.26,61.99
03/15/2002,16:00,840.85,844.75,839.35,843.45,311,514,68.65,61.90
03/18/2002,16:00,846.35,847.25,843.05,843.85,254,542,69.95,63.01
03/19/2002,16:00,846.35,850.45,843.05,848.55,166,563,79.24,65.09
03/20/2002,16:00,849.85,850.45,843.35,845.35,720,656,55.96,65.41
03/21/2002,16:00,849.05,849.05,839.15,840.95,314,576,40.78,64.99
03/22/2002,16:00,845.35,846.05,841.55,842.35,231,499,51.64,60.43
03/25/2002,16:00,841.85,842.15,834.95,836.05,573,776,34.79,59.87
03/26/2002,16:00,841.85,842.35,833.15,838.05,497,711,48.84,56.69
03/27/2002,16:00,834.25,845.75,834.15,843.35,218,728,68.87,53.21
03/28/2002,16:00,854.35,854.35,844.95,847.35,90,747,75.29,55.13
04/01/2002,16:00,844.85,844.85,838.75,844.85,308,741,57.81,43.72
04/02/2002,16:00,844.85,847.95,838.75,844.85,493,1004,57.81,43.91
04/03/2002,16:00,843.15,845.65,835.45,835.45,336,1083,31.34,36.07
04/04/2002,16:00,841.05,841.85,832.85,834.95,216,1025,30.85,33.36
04/05/2002,16:00,837.85,840.35,835.55,835.55,440,938,38.68,34.10
04/08/2002,16:00,832.85,842.35,831.95,842.35,558,1087,70.89,34.66
04/09/2002,16:00,832.85,845.85,831.95,842.45,282,1125,71.10,32.54
04/10/2002,16:00,844.35,849.75,840.35,847.65,149,1129,77.92,32.62
04/11/2002,16:00,849.75,849.85,845.15,846.95,614,1323,70.08,33.14
