"Date","Time","Open","High","Low","Close","Vol","OI","CompositeRSI","HurstExponent"
01/03/2000,16:00,2108.75,2115.75,2072.00,2086.50,61938,13954,0.00,0.00
01/04/2000,16:00,2086.75,2088.50,2029.25,2031.25,63714,12993,0.00,0.00
01/05/2000,16:00,2031.25,2047.00,2004.75,2032.75,72680,13855,0.00,0.00
01/06/2000,16:00,2030.75,2046.00,2015.50,2024.50,67724,14530,0.00,0.00
01/07/2000,16:00,2023.50,2081.25,2017.25,2079.50,60513,15318,0.00,0.00
01/10/2000,16:00,2079.50,2100.75,2075.00,2094.00,59216,16060,0.00,0.00
01/11/2000,16:00,2093.50,2094.75,2066.75,2073.75,70064,16964,0.00,0.00
01/12/2000,16:00,2073.25,2079.25,2058.50,2061.25,62507,16814,0.00,0.00
01/13/2000,16:00,2061.25,2086.50,2061.00,2078.75,57447,15988,0.00,0.00
01/14/2000,16:00,2081.25,2104.75,2075.25,2098.25,57407,16088,0.00,0.00
01/18/2000,16:00,2099.00,2100.00,2081.75,2089.00,65451,16845,0.00,0.00
01/19/2000,16:00,2088.50,2093.75,2070.00,2092.25,57785,18110,0.00,0.00
01/20/2000,16:00,2092.50,2104.75,2067.75,2076.00,76893,18744,0.00,0.00
01/21/2000,16:00,2075.00,2083.00,2069.00,2074.00,58381,18300,0.00,0.00
01/24/2000,16:00,2073.75,2088.25,2023.00,2032.50,71143,18846,0.00,0.00
01/25/2000,16:00,2030.75,2044.50,2017.25,2038.75,76173,18771,0.00,0.00
01/26/2000,16:00,2037.25,2042.50,2028.00,2035.75,58280,18218,0.00,0.00
01/27/2000,16:00,2032.25,2048.25,2007.75,2030.50,71787,19323,0.00,0.00
01/28/2000,16:00,2030.75,2039.75,1981.00,1986.75,69741,21203,0.00,0.00
01/31/2000,16:00,1985.00,2022.75,1976.75,2020.50,63461,22297,0.00,0.00
02/01/2000,16:00,2022.50,2041.50,2011.00,2036.50,58194,19996,0.00,43.22
02/02/2000,16:00,2036.50,2049.25,2029.75,2034.00,52552,21131,0.00,45.17
02/03/2000,16:00,2035.50,2058.00,2025.00,2055.50,74802,21531,0.00,45.64
02/04/2000,16:00,2056.25,2069.25,2046.25,2051.00,60837,22426,0.00,46.03
02/07/2000,16:00,2049.25,2053.00,2038.75,2046.75,60552,22789,0.00,48.71
02/08/2000,16:00,2047.00,2069.25,2045.25,2065.50,62668,23288,68.01,48.81
02/09/2000,16:00,2067.75,2074.50,2036.75,2038.25,77282,24677,37.45,48.26
02/10/2000,16:00,2038.50,2049.00,2032.00,2038.25,68746,23972,37.45,48.47
02/11/2000,16:00,2038.25,2046.25,2004.00,2015.75,72296,24276,27.51,47.55
02/14/2000,16:00,2016.00,2023.25,2006.50,2018.00,66869,24572,33.35,48.25
02/15/2000,16:00,2017.50,2034.50,2000.75,2029.75,79599,26301,57.03,47.40
02/16/2000,16:00,2029.75,2033.25,2010.00,2012.50,69979,25676,35.84,47.43
02/17/2000,16:00,2013.25,2026.75,2004.00,2006.00,65479,26008,31.53,43.60
02/18/2000,16:00,2006.25,2013.25,1968.75,1973.75,63401,26668,23.25,44.27
