"Date","Time","Open","High","Low","Close","Vol","OI","CompositeRSI","HurstExponent"
04/02/2002,16:00,11977,11977,11977,11977,0,0,0.00,0.00
04/03/2002,16:00,11977,11977,11977,11977,0,0,0.00,0.00
04/04/2002,16:00,11897,11897,11897,11897,0,0,0.00,0.00
04/05/2002,16:00,11910,12004,11886,11954,2339,207,0.00,0.00
04/08/2002,16:00,11942,11944,11769,11931,4234,1051,0.00,0.00
04/09/2002,16:00,11954,11976,11868,11886,4407,1476,0.00,0.00
04/10/2002,16:00,11893,12063,11879,12051,6189,1805,0.00,0.00
04/11/2002,16:00,12042,12042,11822,11834,6372,2151,0.00,0.00
04/12/2002,16:00,11874,11904,11804,11858,5387,2444,0.00,0.00
04/15/2002,16:00,11860,11894,11732,11757,6740,2714,0.00,0.00
04/16/2002,16:00,11805,12008,11796,11968,4122,2810,0.00,0.00
04/17/2002,16:00,11973,12002,11849,11892,5340,3426,0.00,0.00
04/18/2002,16:00,11902,11936,11704,11839,4857,3322,0.00,0.00
04/19/2002,16:00,11804,11938,11804,11916,4241,3465,0.00,0.00
04/22/2002,16:00,11911,11927,11775,11799,3306,3863,0.00,0.00
04/23/2002,16:00,11812,11841,11729,11759,7043,4537,0.00,0.00
04/24/2002,16:00,11779,11825,11679,11684,6065,4554,0.00,0.00
04/25/2002,16:00,11679,11709,11583,11706,8117,5404,0.00,0.00
04/26/2002,16:00,11700,11741,11524,11529,4615,6014,0.00,0.00
04/29/2002,16:00,11571,11597,11470,11482,5401,5686,0.00,0.00
04/30/2002,16:00,11500,11667,11481,11594,6327,5513,0.00,45.86
05/01/2002,16:00,11627,11745,11484,11734,6247,6007,0.00,43.08
05/02/2002,16:00,11740,11778,11693,11754,4509,6296,0.00,43.03
05/03/2002,16:00,11738,11772,11584,11650,5546,6860,0.00,42.32
05/06/2002,16:00,11668,11682,11445,11454,5290,6294,0.00,43.18
05/07/2002,16:00,11464,11584,11454,11464,6603,6808,21.57,42.97
05/08/2002,16:00,11539,11812,11535,11776,8012,7043,61.33,40.25
05/09/2002,16:00,11791,11798,11672,11697,6699,7375,50.03,39.26
05/10/2002,16:00,11705,11744,11574,11594,5086,7812,37.50,38.60
05/13/2002,16:00,11602,11775,11579,11769,5584,7812,59.43,38.28
05/14/2002,16:00,11774,11961,11753,11955,7445,9003,69.14,38.32
05/15/2002,16:00,11957,12013,11884,11939,0,0,65.16,39.21
05/16/2002,16:00,11931,11983,11892,11957,6459,9442,67.00,40.57
