Date,Time,Open,High,Low,Close,Vol,OI
01/28/2002,16:00,816.65,816.65,811.85,812.55,119,68
01/29/2002,16:00,816.65,816.65,807.05,807.05,93,103
01/30/2002,16:00,815.25,815.85,798.35,804.25,368,343
01/31/2002,16:00,803.25,813.25,798.35,812.55,201,474
02/01/2002,16:00,812.55,813.95,809.15,811.15,48,562
02/04/2002,16:00,806.75,806.75,801.55,802.55,259,561
02/05/2002,16:00,806.75,806.85,796.45,800.45,116,523
02/06/2002,16:00,796.45,802.95,793.95,796.05,13,23
02/07/2002,16:00,800.75,800.75,787.25,794.65,82,655
02/08/2002,16:00,792.85,804.35,792.55,804.35,193,720
02/11/2002,16:00,803.15,807.55,802.85,807.55,136,748
02/12/2002,16:00,803.15,809.75,802.75,808.95,111,798
02/13/2002,16:00,808.75,812.25,805.05,811.25,48,798
02/14/2002,16:00,809.65,815.35,808.85,813.05,237,945
02/15/2002,16:00,809.75,810.45,805.45,805.75,241,942
02/19/2002,16:00,804.25,804.25,797.95,798.55,327,988
02/20/2002,16:00,804.25,804.25,795.65,799.05,501,995
02/21/2002,16:00,800.05,805.85,795.35,804.15,501,1060
02/22/2002,16:00,797.25,804.25,796.25,802.75,315,1077
02/25/2002,16:00,804.95,807.55,804.05,807.55,150,1085
02/26/2002,16:00,804.95,812.45,804.05,811.25,101,1031
02/27/2002,16:00,810.75,818.05,808.05,815.05,213,1055
02/28/2002,16:00,814.95,818.15,813.35,814.35,155,1073
03/01/2002,16:00,811.85,823.15,811.85,823.05,271,1158
03/04/2002,16:00,825.75,833.15,824.65,832.25,448,1181
03/05/2002,16:00,825.75,837.45,824.65,835.75,270,1295
03/06/2002,16:00,833.75,838.75,831.25,836.75,452,1445
03/07/2002,16:00,843.85,845.65,839.05,839.75,146,45
03/08/2002,16:00,843.65,846.35,841.15,843.35,178,107
03/11/2002,16:00,841.85,844.85,841.35,844.85,282,250
03/12/2002,16:00,841.85,846.65,836.85,843.85,397,307
03/13/2002,16:00,838.35,844.15,836.85,840.15,324,372
03/14/2002,16:00,840.35,842.85,837.45,837.85,112,406
03/15/2002,16:00,840.85,844.75,839.35,843.45,311,514
