Date,Time,Open,High,Low,Close,Vol,OI
01/03/2000,16:00,2108.75,2115.75,2072.0,2086.5,61938,13954
01/04/2000,16:00,2086.75,2088.5,2029.25,2031.25,63714,12993
01/05/2000,16:00,2031.25,2047.0,2004.75,2032.75,72680,13855
01/06/2000,16:00,2030.75,2046.0,2015.5,2024.5,67724,14530
01/07/2000,16:00,2023.5,2081.25,2017.25,2079.5,60513,15318
01/10/2000,16:00,2079.5,2100.75,2075.0,2094.0,59216,16060
01/11/2000,16:00,2093.5,2094.75,2066.75,2073.75,70064,16964
01/12/2000,16:00,2073.25,2079.25,2058.5,2061.25,62507,16814
01/13/2000,16:00,2061.25,2086.5,2061.0,2078.75,57447,15988
01/14/2000,16:00,2081.25,2104.75,2075.25,2098.25,57407,16088
01/18/2000,16:00,2099.0,2100.0,2081.75,2089.0,65451,16845
01/19/2000,16:00,2088.5,2093.75,2070.0,2092.25,57785,18110
01/20/2000,16:00,2092.5,2104.75,2067.75,2076.0,76893,18744
01/21/2000,16:00,2075.0,2083.0,2069.0,2074.0,58381,18300
01/24/2000,16:00,2073.75,2088.25,2023.0,2032.5,71143,18846
01/25/2000,16:00,2030.75,2044.5,2017.25,2038.75,76173,18771
01/26/2000,16:00,2037.25,2042.5,2028.0,2035.75,58280,18218
01/27/2000,16:00,2032.25,2048.25,2007.75,2030.5,71787,19323
01/28/2000,16:00,2030.75,2039.75,1981.0,1986.75,69741,21203
01/31/2000,16:00,1985.0,2022.75,1976.75,2020.5,63461,22297
02/01/2000,16:00,2022.5,2041.5,2011.0,2036.5,58194,19996
02/02/2000,16:00,2036.5,2049.25,2029.75,2034.0,52552,21131
02/03/2000,16:00,2035.5,2058.0,2025.0,2055.5,74802,21531
02/04/2000,16:00,2056.25,2069.25,2046.25,2051.0,60837,22426
02/07/2000,16:00,2049.25,2053.0,2038.75,2046.75,60552,22789
02/08/2000,16:00,2047.0,2069.25,2045.25,2065.5,62668,23288
02/09/2000,16:00,2067.75,2074.5,2036.75,2038.25,77282,24677
02/10/2000,16:00,2038.5,2049.0,2032.0,2038.25,68746,23972
02/11/2000,16:00,2038.25,2046.25,2004.0,2015.75,72296,24276
02/14/2000,16:00,2016.0,2023.25,2006.5,2018.0,66869,24572
02/15/2000,16:00,2017.5,2034.5,2000.75,2029.75,79599,26301
02/16/2000,16:00,2029.75,2033.25,2010.0,2012.5,69979,25676
02/17/2000,16:00,2013.25,2026.75,2004.0,2006.0,65479,26008
02/18/2000,16:00,2006.25,2013.25,1968.75,1973.75,63401,26668
02/22/2000,16:00,1975.75,1983.5,1956.25,1970.75,78957,26850
02/23/2000,16:00,1969.0,1994.0,1964.25,1983.75,69515,28104
02/24/2000,16:00,1984.75,1989.75,1950.75,1975.25,81031,29293
02/25/2000,16:00,1975.25,1986.25,1950.75,1957.5,73993,29796
02/28/2000,16:00,1960.5,1985.75,1947.25,1968.25,82524,29169
02/29/2000,16:00,1969.0,1993.75,1967.75,1991.75,66528,28230
03/01/2000,16:00,1992.0,2008.5,1990.75,2004.25,60719,29558
03/02/2000,16:00,2004.0,2010.25,1992.25,2004.75,62403,30059
03/03/2000,16:00,2004.5,2034.25,2003.25,2030.25,65174,29923
03/06/2000,16:00,2030.75,2032.5,2006.0,2014.75,59701,29549
03/07/2000,16:00,1996.25,2006.25,1952.75,1953.5,85186,31256
03/08/2000,16:00,1974.5,1995.5,1968.0,1985.75,981,1194
03/09/2000,16:00,1986.75,2025.25,1978.5,2023.25,49478,5974
03/10/2000,16:00,2023.0,2036.0,2013.75,2019.5,65485,9561
03/13/2000,16:00,2014.75,2020.0,1983.0,2002.25,69397,11559
03/14/2000,16:00,2002.0,2016.0,1978.5,1981.75,77452,12057
03/15/2000,16:00,1981.75,2019.25,1976.25,2016.75,84171,16204
03/16/2000,16:00,2016.75,2083.25,2015.25,2080.25,81281,19516
03/17/2000,16:00,2080.0,2099.5,2070.0,2090.25,65382,19528
03/20/2000,16:00,2087.75,2092.25,2068.5,2079.75,57944,19351
03/21/2000,16:00,2079.25,2116.0,2065.0,2109.5,69275,20284
03/22/2000,16:00,2109.75,2127.0,2105.75,2119.75,63556,19191
03/23/2000,16:00,2119.0,2154.75,2111.75,2145.75,68507,20348
03/24/2000,16:00,2144.5,2176.0,2137.0,2157.25,67498,20996
03/27/2000,16:00,2154.0,2156.25,2137.75,2140.75,47937,21853
03/28/2000,16:00,2141.75,2151.25,2124.75,2131.0,60846,23252
03/29/2000,16:00,2131.0,2143.0,2116.75,2131.75,60070,22668
03/30/2000,16:00,2131.25,2136.75,2095.25,2106.25,67180,23213
03/31/2000,16:00,2107.0,2140.5,2102.75,2119.25,58120,24538
04/03/2000,16:00,2113.75,2130.5,2103.75,2130.25,69157,25418
04/04/2000,16:00,2130.75,2146.5,2032.75,2117.75,20172,23915
04/05/2000,16:00,2116.5,2123.5,2093.0,2106.25,13765,24035
04/06/2000,16:00,2105.75,2132.5,2103.25,2118.25,62641,24682
04/07/2000,16:00,2118.25,2136.75,2115.5,2132.0,59600,25173
04/10/2000,16:00,2132.25,2145.75,2119.75,2122.75,71268,25287
