Date,Time,Open,High,Low,Close,Vol,OI
01/03/2000,16:00,6999.5,7144.5,6930.5,7094.0,15414,7459
01/04/2000,16:00,7088.0,7092.0,6774.5,6807.0,15455,7653
01/05/2000,16:00,6807.0,6867.5,6644.5,6762.0,15272,7471
01/06/2000,16:00,6742.5,6802.5,6532.0,6562.0,15550,8241
01/07/2000,16:00,6534.0,6824.0,6506.5,6807.0,14126,8355
01/10/2000,16:00,6810.5,7054.0,6804.0,7009.5,15742,8595
01/11/2000,16:00,7014.5,7015.5,6791.5,6824.5,16839,8514
01/12/2000,16:00,6826.0,6864.5,6725.5,6753.0,15547,8232
01/13/2000,16:00,6757.5,6902.0,6751.5,6902.0,13409,8262
01/14/2000,16:00,6909.5,7034.5,6894.5,7001.0,12244,9089
01/18/2000,16:00,6992.5,7069.0,6919.0,7056.5,14821,9726
01/19/2000,16:00,7050.0,7100.0,6990.5,7099.5,14308,9544
01/20/2000,16:00,7096.5,7162.5,7060.5,7126.0,16054,9136
01/21/2000,16:00,7119.5,7163.5,7073.5,7139.0,10416,8891
01/24/2000,16:00,7141.0,7187.5,6925.0,6933.0,15881,8518
01/25/2000,16:00,6924.5,7046.5,6856.0,7041.0,17930,8390
01/26/2000,16:00,7024.5,7037.0,6887.0,6904.0,14483,8988
01/27/2000,16:00,6878.0,6983.5,6775.5,6885.5,15985,8550
01/28/2000,16:00,6890.0,6934.5,6658.5,6724.5,16259,9034
01/31/2000,16:00,6711.5,6869.5,6620.5,6862.0,17839,8882
02/01/2000,16:00,6856.0,6984.5,6813.5,6973.0,13663,6788
02/02/2000,16:00,6968.5,7065.5,6941.5,6983.5,13436,6786
02/03/2000,16:00,6983.5,7142.0,6962.5,7142.0,16812,7558
02/04/2000,16:00,7137.5,7209.5,7110.5,7156.0,11605,7807
02/07/2000,16:00,7156.0,7208.0,7125.0,7206.5,10266,8322
02/08/2000,16:00,7194.0,7348.0,7191.5,7344.5,15069,9712
02/09/2000,16:00,7349.5,7393.5,7226.0,7226.0,19889,9671
02/10/2000,16:00,7220.5,7365.5,7217.5,7361.5,18454,9833
02/11/2000,16:00,7358.5,7389.5,7199.5,7242.0,18652,9685
02/14/2000,16:00,7233.0,7277.5,7183.5,7253.0,18078,9456
02/15/2000,16:00,7249.0,7299.5,7110.5,7286.0,23417,9675
02/16/2000,16:00,7284.0,7336.5,7244.5,7270.0,19888,9159
02/17/2000,16:00,7275.5,7395.5,7260.5,7356.0,18302,9579
02/18/2000,16:00,7359.5,7390.5,7212.0,7217.5,18802,9595
02/22/2000,16:00,7204.0,7267.5,7115.0,7217.0,22638,9108
02/23/2000,16:00,7226.5,7467.5,7211.5,7437.0,23907,10714
02/24/2000,16:00,7439.0,7542.0,7356.0,7542.0,28263,11191
02/25/2000,16:00,7533.0,7565.5,7379.5,7443.5,22378,10294
02/28/2000,16:00,7432.0,7492.5,7278.5,7434.5,27318,9747
02/29/2000,16:00,7414.0,7550.5,7408.0,7550.5,20360,9493
03/01/2000,16:00,7547.5,7602.5,7522.5,7575.0,18822,10414
03/02/2000,16:00,7574.5,7587.5,7453.5,7474.5,22454,10798
03/03/2000,16:00,7479.5,7707.5,7459.5,7704.0,21378,10599
03/06/2000,16:00,7696.5,7790.5,7680.5,7747.0,21491,11543
03/07/2000,16:00,7733.0,7820.0,7610.5,7642.0,28103,11531
03/08/2000,16:00,7649.5,7709.5,7533.0,7707.0,628,432
03/09/2000,16:00,7697.0,7865.5,7625.0,7856.5,15672,2332
03/10/2000,16:00,7852.5,7917.5,7801.5,7852.5,22008,3852
03/13/2000,16:00,7841.5,7850.5,7665.5,7708.0,24358,5175
03/14/2000,16:00,7696.0,7789.5,7467.5,7485.5,28686,5758
03/15/2000,16:00,7489.5,7542.5,7331.0,7348.0,33240,6541
03/16/2000,16:00,7357.5,7618.0,7293.5,7600.0,31934,7104
03/17/2000,16:00,7601.0,7712.5,7558.5,7702.0,21752,7358
03/20/2000,16:00,7693.0,7714.5,7501.0,7538.0,25413,7812
03/21/2000,16:00,7533.5,7715.0,7400.5,7703.5,27244,8350
03/22/2000,16:00,7695.5,7894.5,7677.5,7805.5,29121,6679
03/23/2000,16:00,7810.5,7960.5,7761.5,7918.0,27159,7066
03/24/2000,16:00,7915.5,8069.5,7851.5,7989.5,25878,7547
03/27/2000,16:00,7972.5,8035.5,7936.5,7947.5,22162,7827
03/28/2000,16:00,7946.5,8023.0,7835.5,7848.0,25160,7584
03/29/2000,16:00,7845.5,7863.5,7641.5,7654.0,30696,7864
03/30/2000,16:00,7656.5,7743.5,7397.0,7513.0,32339,8653
03/31/2000,16:00,7513.5,7671.5,7431.0,7643.0,30146,9447
04/03/2000,16:00,7602.5,7602.5,7274.0,7320.5,35070,11502
04/04/2000,16:00,7313.5,7397.5,6880.5,7251.5,44126,11975
04/05/2000,16:00,7265.5,7399.0,7114.5,7245.5,32308,13209
04/06/2000,16:00,7240.5,7405.5,7205.0,7330.5,27739,13100
04/07/2000,16:00,7330.0,7529.0,7320.5,7522.5,23589,13166
04/10/2000,16:00,7526.0,7563.0,7195.5,7211.0,35883,13654
04/11/2000,16:00,7211.5,7286.0,7071.5,7140.5,39151,14149
04/12/2000,16:00,7140.0,7212.5,6838.5,6880.5,38550,15547
04/13/2000,16:00,6870.5,7069.5,6747.5,6770.5,38663,15073
04/14/2000,16:00,6778.5,6806.0,6333.5,6403.0,43966,18526
04/17/2000,16:00,6393.0,6775.5,6293.0,6763.0,41363,18015
04/18/2000,16:00,6769.5,6937.5,6674.5,6935.5,33643,17097
04/19/2000,16:00,6920.0,6966.5,6790.0,6808.0,29702,17648
04/20/2000,16:00,6815.5,6855.5,6670.5,6720.5,22582,18024
04/24/2000,16:00,6674.0,6674.0,6408.5,6602.5,30710,18440
04/25/2000,16:00,6602.0,6840.5,6584.5,6830.5,29209,18870
04/26/2000,16:00,6835.5,6919.5,6705.5,6713.0,32073,16003
04/27/2000,16:00,6713.0,6919.0,6603.0,6870.5,35244,17244
04/28/2000,16:00,6880.0,7012.0,6866.0,6995.5,20768,17513
05/01/2000,16:00,6993.0,7095.5,6991.5,7052.5,31114,18290
05/02/2000,16:00,7051.5,7072.5,6821.5,6823.5,31759,17813
05/03/2000,16:00,6824.0,6843.5,6637.5,6770.5,37919,19822
05/04/2000,16:00,6769.0,6837.5,6720.5,6775.0,31468,20050
05/05/2000,16:00,6770.5,6925.5,6713.0,6880.5,25723,20315
05/08/2000,16:00,6867.5,6878.5,6698.0,6737.0,29332,21525
05/09/2000,16:00,6732.5,6784.5,6606.0,6638.0,29510,21462
05/10/2000,16:00,6633.5,6671.0,6431.0,6438.0,41173,23182
05/11/2000,16:00,6435.5,6593.5,6379.5,6571.0,30808,23379
05/12/2000,16:00,6588.0,6725.5,6576.5,6603.0,25359,23335
05/15/2000,16:00,6595.5,6750.5,6513.0,6745.0,31751,23911
05/16/2000,16:00,6740.5,6869.0,6732.5,6855.5,29117,23947
05/17/2000,16:00,6855.0,6859.0,6724.0,6773.0,32377,22888
05/18/2000,16:00,6774.5,6790.5,6625.5,6645.5,30367,23846
05/19/2000,16:00,6643.0,6660.5,6451.5,6465.5,28920,25311
05/22/2000,16:00,6461.5,6515.5,6243.5,6483.0,44218,25877
05/23/2000,16:00,6470.0,6531.5,6194.0,6198.0,41911,26136
05/24/2000,16:00,6200.5,6398.5,6088.0,6353.0,52590,27321
05/25/2000,16:00,6351.5,6493.5,6266.5,6311.0,39511,26396
05/26/2000,16:00,6311.0,6370.0,6227.5,6315.5,26523,26154
05/30/2000,16:00,6309.0,6625.5,6308.5,6612.5,33375,27343
05/31/2000,16:00,6611.0,6659.5,6510.5,6510.5,39880,27763
06/01/2000,16:00,6509.5,6732.0,6509.5,6698.0,38783,27955
06/02/2000,16:00,6697.5,6961.0,6672.5,6937.0,29667,29376
06/05/2000,16:00,6937.5,7015.5,6876.5,6938.0,39986,29482
06/06/2000,16:00,6932.0,7002.5,6835.5,6848.0,36656,29705
06/07/2000,16:00,6849.0,6932.0,6790.5,6923.0,37907,30502
06/08/2000,16:00,6937.0,6987.5,6859.0,6915.5,650,3773
06/09/2000,16:00,6911.5,7025.5,6906.5,6939.5,24128,4736
06/12/2000,16:00,6927.5,6985.0,6826.0,6843.0,30912,6451
06/13/2000,16:00,6844.5,6963.0,6769.5,6958.0,40604,7841
06/14/2000,16:00,6964.0,7023.5,6852.5,6882.0,39239,8824
06/15/2000,16:00,6885.0,6947.5,6819.5,6943.0,32229,9068
06/16/2000,16:00,6943.5,7005.5,6910.5,6953.0,28004,9234
06/19/2000,16:00,6949.0,7124.0,6906.5,7108.0,35486,11901
06/20/2000,16:00,7106.0,7183.0,7086.5,7133.0,39157,13546
06/21/2000,16:00,7115.0,7172.0,7051.5,7139.0,37111,14726
06/22/2000,16:00,7145.5,7156.0,6981.0,6988.0,38486,15003
06/23/2000,16:00,6991.0,7011.0,6843.5,6853.5,32292,15883
06/26/2000,16:00,6863.0,6963.5,6862.0,6953.0,36204,17022
06/27/2000,16:00,6954.5,6989.5,6878.5,6892.5,29275,17855
06/28/2000,16:00,6892.0,7001.5,6881.5,6941.0,34812,18966
06/29/2000,16:00,6942.0,6956.5,6745.5,6856.5,40264,19072
06/30/2000,16:00,6851.5,6942.5,6843.0,6942.5,22002,19240
07/03/2000,16:00,6927.0,6992.5,6912.0,6987.0,6527,15626
07/05/2000,16:00,6979.5,7033.0,6815.5,6835.0,33063,17152
07/06/2000,16:00,6837.0,6970.5,6777.5,6959.5,44677,20442
07/07/2000,16:00,6961.5,7064.0,6952.5,7003.0,35054,22039
07/10/2000,16:00,6994.5,7015.5,6933.5,6953.5,33668,22360
07/11/2000,16:00,6951.0,7010.5,6877.5,6907.0,45485,22767
07/12/2000,16:00,6931.5,7083.5,6931.5,7056.0,37526,25902
07/13/2000,16:00,7060.5,7167.5,7044.5,7134.0,36005,23809
07/14/2000,16:00,7131.0,7224.5,7128.5,7203.5,35560,23522
07/17/2000,16:00,7201.0,7260.0,7169.5,7235.5,31257,22834
07/18/2000,16:00,7235.5,7245.5,7112.0,7149.0,39434,24357
07/19/2000,16:00,7136.5,7164.5,6998.0,7039.0,38810,25232
07/20/2000,16:00,7040.5,7181.5,7031.0,7177.5,36984,25718
07/21/2000,16:00,7175.5,7177.5,7052.5,7064.5,32102,23356
07/24/2000,16:00,7059.5,7132.5,6940.0,6945.0,41580,25160
07/25/2000,16:00,6949.0,7037.0,6922.5,7013.5,41176,25435
07/26/2000,16:00,7016.0,7019.5,6898.5,6990.5,45842,26205
07/27/2000,16:00,6982.5,7003.0,6824.5,6832.5,47060,26714
