Date,Time,Open,High,Low,Close,Vol,OI
04/02/2002,16:00,11977,11977,11977,11977,0,0
04/03/2002,16:00,11977,11977,11977,11977,0,0
04/04/2002,16:00,11897,11897,11897,11897,0,0
04/05/2002,16:00,11910,12004,11886,11954,2339,207
04/08/2002,16:00,11942,11944,11769,11931,4234,1051
04/09/2002,16:00,11954,11976,11868,11886,4407,1476
04/10/2002,16:00,11893,12063,11879,12051,6189,1805
04/11/2002,16:00,12042,12042,11822,11834,6372,2151
04/12/2002,16:00,11874,11904,11804,11858,5387,2444
04/15/2002,16:00,11860,11894,11732,11757,6740,2714
04/16/2002,16:00,11805,12008,11796,11968,4122,2810
04/17/2002,16:00,11973,12002,11849,11892,5340,3426
04/18/2002,16:00,11902,11936,11704,11839,4857,3322
04/19/2002,16:00,11804,11938,11804,11916,4241,3465
04/22/2002,16:00,11911,11927,11775,11799,3306,3863
04/23/2002,16:00,11812,11841,11729,11759,7043,4537
04/24/2002,16:00,11779,11825,11679,11684,6065,4554
04/25/2002,16:00,11679,11709,11583,11706,8117,5404
04/26/2002,16:00,11700,11741,11524,11529,4615,6014
04/29/2002,16:00,11571,11597,11470,11482,5401,5686
04/30/2002,16:00,11500,11667,11481,11594,6327,5513
05/01/2002,16:00,11627,11745,11484,11734,6247,6007
05/02/2002,16:00,11740,11778,11693,11754,4509,6296
05/03/2002,16:00,11738,11772,11584,11650,5546,6860
05/06/2002,16:00,11668,11682,11445,11454,5290,6294
05/07/2002,16:00,11464,11584,11454,11464,6603,6808
05/08/2002,16:00,11539,11812,11535,11776,8012,7043
05/09/2002,16:00,11791,11798,11672,11697,6699,7375
05/10/2002,16:00,11705,11744,11574,11594,5086,7812
05/13/2002,16:00,11602,11775,11579,11769,5584,7812
05/14/2002,16:00,11774,11961,11753,11955,7445,9003
05/15/2002,16:00,11957,12013,11884,11939,0,0
05/16/2002,16:00,11931,11983,11892,11957,6459,9442
05/17/2002,16:00,11997,12028,11920,12001,3860,9140
05/20/2002,16:00,11999,11999,11874,11904,5071,9568
05/21/2002,16:00,11896,11949,11751,11787,5373,9870
05/22/2002,16:00,11799,11823,11726,11816,6804,9842
05/23/2002,16:00,11791,11892,11750,11884,5867,9320
05/24/2002,16:00,11885,11909,11749,11757,4769,9225
05/28/2002,16:00,11789,11807,11629,11667,7196,9737
05/29/2002,16:00,11659,11662,11579,11589,6608,9990
05/30/2002,16:00,11604,11631,11465,11585,5173,10182
05/31/2002,16:00,11599,11711,11553,11569,5173,10043
06/03/2002,16:00,11563,11654,11342,11347,7626,10147
06/04/2002,16:00,11364,11414,11257,11364,10168,10952
06/05/2002,16:00,11399,11476,11352,11469,6210,10758
06/06/2002,16:00,11464,11485,11174,11294,6595,11227
06/07/2002,16:00,11210,11305,11132,11254,6285,11040
06/10/2002,16:00,11278,11382,11224,11318,7694,10482
06/11/2002,16:00,11306,11428,11169,11189,7581,10583
06/12/2002,16:00,11210,11297,11112,11286,8481,10363
06/13/2002,16:00,11324,11324,11154,11179,7828,1755
06/14/2002,16:00,11185,11188,10907,11149,7776,2959
06/17/2002,16:00,11159,11364,11149,11349,7199,2959
06/18/2002,16:00,11349,11429,11294,11424,6337,2300
06/19/2002,16:00,11389,11405,11201,11229,8008,2713
06/20/2002,16:00,11244,11264,11088,11097,8168,2786
06/21/2002,16:00,11089,11149,10874,10936,13579,3866
